Nom de la tâche;Compartiment;Progression;Développement;Test;Pilote;Déploiement;Priorité;Assigné à;Date de début;Date d'échéance;Étiquettes;Description
[Alertes] Notifications du navigateur (bulles système) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Alertes;Actives onglet en arrière-plan
[Alertes] Alerte visuelle (onglet clignotant, pastille pulsante) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Alertes;Secours si le son est coupé
[Documents] Impression fiche de demande et bon de commande (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Documents;Colonnes de prix vides à compléter
[Documents] Exports PDF (demandes, commandes, réceptions) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;01/09/2026;Documents;jsPDF, repli impression
[Documents] Exports Excel et CSV (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;01/09/2026;Documents;Comparaison incluse
[Identité] Intégration du logo et charte violet / bleu nuit (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;Direction;28/08/2026;02/09/2026;Documents;Site, impressions, PDF, favicon
[Données] Synchronisation Supabase en temps réel (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Données;Partage entre tous les postes
[Données] Sécurisation anti-écrasement entre appareils (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Données;Le serveur fait foi au démarrage
[Pilotage] Tableau de bord graphique (3 graphiques) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Pilotage;Achats 12 mois, répartition, top 5
[Qualité] Suite de tests automatisés (197 contrôles) (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Qualité;13 séries, exécutées avant publication
[Déploiement] Déploiement continu GitHub vers Vercel (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Urgent;DSI;28/08/2026;02/09/2026;Déploiement;Une commande : scripts/publish.mjs
[Documentation] Cahier des charges et synthèse direction (100 %);Livré;Terminé;Terminé;Terminé;Terminé;Terminé;Moyen;DSI;28/08/2026;02/09/2026;Documentation;PDF et Word, 14 et 4 pages
[Qualité] Recette utilisateur et ajustements (60 %);En cours;En cours;Terminé;En cours;Pas commencé;Pas commencé;Urgent;Direction;28/08/2026;05/09/2026;Qualité;Retours des utilisateurs finaux
[Sécurité] Durcissement des politiques d'accès (RLS) (30 %);En cours;En cours;En cours;Pas commencé;Pas commencé;Pas commencé;Urgent;DSI;28/08/2026;09/09/2026;Sécurité;Restreindre par rôle avant généralisation
[Sécurité] Journal d'audit des actions sensibles (15 %);En cours;En cours;En cours;Pas commencé;Pas commencé;Pas commencé;Urgent;DSI;28/08/2026;12/09/2026;Sécurité;Qui a supprimé/modifié quoi et quand
[Sécurité] Authentification sécurisée (mots de passe hachés) (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Urgent;DSI;;19/09/2026;Sécurité;Migration vers Supabase Auth
[Alertes] Notifications par e-mail (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Moyen;DSI;;26/09/2026;Alertes;Réduction des délais de réponse
[Pilotage] Budgets par service avec alerte de dépassement (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Moyen;Direction;;10/10/2026;Pilotage;Pilotage financier
[Fournisseurs] Portail fournisseur (saisie directe des offres) (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Faible;DSI;;24/10/2026;Fournisseurs;Productivité sur les consultations
[Logistique] Gestion des stocks liée aux réceptions (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Faible;Logistique;;31/10/2026;Pilotage;À cadrer
[Sécurité] Authentification unique (SSO) (0 %);Planifié;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Pas commencé;Faible;DSI;;31/10/2026;Sécurité;Confort utilisateur
